date,maxSharpe
2003-12-31,100000.0
2004-01-30,101346.89351248855
2004-02-27,102801.64728218141
2004-03-31,105579.46067536963
2004-04-30,101478.49015767619
2004-05-31,102501.02913825138
2004-06-30,103179.41179394104
2004-07-30,103098.7201359536
2004-08-31,104845.16397362336
2004-09-30,108551.68401457947
2004-10-29,111776.40147107637
2004-11-30,115175.21358272967
2004-12-31,116318.39509525895
2005-01-31,114916.32380124214
2005-02-28,118899.2239516462
2005-03-31,117692.72188396713
2005-04-29,116111.16259873136
2005-05-31,118037.9099426977
2005-06-30,121687.19791593455
2005-07-29,125817.36413822837
2005-08-31,128217.42699186764
2005-09-30,131200.07876646763
2005-10-31,127341.43672873126
2005-11-30,131342.45724132366
2005-12-30,134010.80903550852
2006-01-31,141777.2640230385
2006-02-28,140845.17365273464
2006-03-31,144860.20366760576
2006-04-28,149295.65388006542
2006-05-31,145523.44381007194
2006-06-30,146512.435934278
2006-07-31,148760.5483306269
2006-08-31,150726.29366807666
2006-09-29,150250.36312643756
2006-10-31,155226.68447051477
2006-11-30,161494.2028184333
2006-12-29,161685.6704674775
2007-01-31,165322.78955172887
2007-02-28,165764.8483012432
2007-03-30,166758.22439066824
2007-04-30,170241.83601612458
2007-05-31,172170.8927780709
2007-06-29,169290.08168362733
2007-07-31,166440.78430403452
2007-08-31,168425.80637917243
2007-09-28,177544.5396234724
2007-10-31,184579.9144858276
2007-11-30,177230.95737624652
2007-12-31,177631.35669668103
2008-01-31,172635.94265501268
2008-02-29,174628.18778524216
2008-03-31,173090.4932078031
2008-04-30,178817.01807111938
2008-05-30,181375.73174962733
2008-06-30,175725.97560746383
2008-07-31,172652.35342839148
2008-08-29,168555.02369508852
2008-09-30,157506.71159593033
2008-10-31,125505.04162238119
2008-11-28,117420.95054383206
2008-12-31,123574.38592455006
2009-01-30,119766.1390270595
2009-02-27,113676.86225607345
2009-03-31,119399.59791060993
2009-04-30,129323.6086628002
2009-05-29,140746.6316427356
2009-06-30,140941.0744335053
2009-07-31,148738.78624784798
2009-08-31,151441.70526510684
2009-09-30,157920.90361805994
2009-10-30,158075.3550943844
2009-11-30,165284.8726504712
2009-12-31,168025.70474393063
2010-01-29,163320.1240270369
2010-02-26,166921.28454147157
2010-03-31,174426.17876212692
2010-04-30,179213.862995362
2010-05-31,169686.79723474183
2010-06-30,167885.01795374614
2010-07-30,175831.63965667508
2010-08-31,173553.34432887516
2010-09-30,185257.5961578714
2010-10-29,190430.53074169718
2010-11-30,188906.99302968621
2010-12-31,197394.2771299869
2011-01-31,198082.49160925575
2011-02-28,203486.06077239028
2011-03-31,205412.96518563761
2011-04-29,213428.1718835236
2011-05-31,210747.1677377094
2011-06-30,207003.21520691444
2011-07-29,209774.16340082118
2011-08-31,205505.8642654977
2011-09-30,190142.6035500294
2011-10-31,204860.14372893597
2011-11-30,201865.94149344706
2011-12-30,200147.56675610307
2012-01-31,210946.41614542378
2012-02-29,215796.52665925943
2012-03-30,215473.71942403298
2012-04-30,215417.36784587457
2012-05-31,203223.2420483541
2012-06-29,209412.65000583086
2012-07-31,212949.8791336567
2012-08-31,217588.94144377246
2012-09-28,222434.6809764834
2012-10-31,220014.00101433738
2012-11-30,221571.26228541756
2012-12-31,224233.58258170614
2013-01-31,229160.5761426749
2013-02-28,227143.915800847
2013-03-29,230366.94640508297
2013-04-30,230718.05216022968
2013-05-31,226930.372637071
2013-06-28,218909.85145007525
2013-07-31,227073.0426532946
2013-08-30,225275.74926855837
2013-09-30,230202.18542042258
2013-10-31,235616.44332476292
2013-11-29,234650.9146289549
2013-12-31,235292.4229182125
2014-01-31,233009.25721119784
2014-02-28,242348.91639077268
2014-03-31,242160.12206551307
2014-04-30,243336.54601320327
2014-05-30,245713.01140735266
2014-06-30,251409.61838584582
2014-07-31,246482.89965014393
2014-08-29,250769.57967682215
2014-09-30,240279.1952729693
2014-10-31,242882.1510077932
2014-11-28,241688.8687283179
2014-12-31,237592.57970972275
2015-01-30,239601.50489850453
2015-02-27,244744.5495744386
2015-03-31,242386.9391893326
2015-04-30,246497.38956056233
2015-05-29,246368.5679944896
2015-06-30,242490.8473050778
2015-07-31,239495.42790373418
2015-08-31,231752.9377866168
2015-09-30,226855.6598901322
2015-10-30,236341.621642629
2015-11-30,232682.9849267469
2015-12-31,228259.1008526967
2016-01-29,221881.74576535917
2016-02-29,223245.57063844684
2016-03-31,236535.89099021602
2016-04-29,241710.53703326482
2016-05-31,242676.63953142686
2016-06-30,247170.28532835018
2016-07-29,253829.68233889312
2016-08-31,254859.062888963
2016-09-30,256230.7593302171
2016-10-31,252280.70507535475
2016-11-30,252388.38317597346
2016-12-30,257173.10651468698
2017-01-31,261218.29620997334
2017-02-28,267169.1976060872
2017-03-31,267447.4288285919
2017-04-28,270528.4918885896
2017-05-31,272793.3655659817
2017-06-30,274298.1474904926
2017-07-31,278469.8773229447
2017-08-31,279702.12042167876
2017-09-29,282970.9419172265
2017-10-31,285800.89635300933
2017-11-30,289351.58296545537
2017-12-29,291595.7794116461
2018-01-31,297140.03070139466
2018-02-28,287753.05567669764
2018-03-30,287281.805380569
2018-04-30,288619.9880487003
2018-05-31,292088.7390861445
2018-06-29,292925.8604300624
2018-07-31,297404.63656688435
2018-08-31,301234.71533642046
2018-09-28,300173.0957716236
2018-10-31,286532.79011056514
2018-11-30,289950.2686629706
2018-12-31,276767.406201641
2019-01-31,295262.7184593463
2019-02-28,300783.407115842
2019-03-29,304530.4329403963
2019-04-30,310091.171547242
2019-05-31,301241.77856917004
2019-06-28,313849.82747007924
2019-07-31,315198.68628550856
2019-08-30,315155.2062695111
2019-09-30,318292.4999070703
2019-10-31,323004.62018944917
2019-11-29,325916.4438876261
2019-12-31,332751.6861590168
2020-01-31,332381.88074343285
