date,maxSharpe
2003-12-31,100000.0
2004-01-30,101088.52649227678
2004-02-27,102143.0519261793
2004-03-31,104659.90818916884
2004-04-30,98821.24117181671
2004-05-31,99130.66294539974
2004-06-30,99330.76645330394
2004-07-30,100380.85982748357
2004-08-31,102108.81776913251
2004-09-30,104553.88734948293
2004-10-29,107256.20726629405
2004-11-30,109205.22846556506
2004-12-31,110709.14078533092
2005-01-31,110021.35152182098
2005-02-28,112985.86343454449
2005-03-31,110284.05357578715
2005-04-29,107945.4451122268
2005-05-31,109783.42128978677
2005-06-30,112809.34041021125
2005-07-29,117253.64101760583
2005-08-31,119089.56282384871
2005-09-30,119547.97666715516
2005-10-31,116006.92013501367
2005-11-30,117896.93885277469
2005-12-30,120408.00723020297
2006-01-31,126074.55541374398
2006-02-28,124321.29327989685
2006-03-31,128091.23579669405
2006-04-28,133135.954524889
2006-05-31,130306.3846623036
2006-06-30,130437.73912346517
2006-07-31,133032.89044402173
2006-08-31,134520.75459574145
2006-09-29,133892.72996576387
2006-10-31,137862.4250535837
2006-11-30,142845.15070381755
2006-12-29,142825.28822171706
2007-01-31,146687.9682325163
2007-02-28,146244.77779392313
2007-03-30,146370.69043743078
2007-04-30,149269.4639929666
2007-05-31,150487.67033737287
2007-06-29,148261.2336058704
2007-07-31,145607.95966186185
2007-08-31,143876.0914200926
2007-09-28,153444.04566295334
2007-10-31,161149.2895689771
2007-11-30,156427.61607673264
2007-12-31,156033.32209667447
2008-01-31,152797.94897333859
2008-02-29,154863.54303693018
2008-03-31,152909.51956419912
2008-04-30,153444.29948529424
2008-05-30,153597.72378670555
2008-06-30,152081.40544378976
2008-07-31,149775.64436981356
2008-08-29,148218.84287344944
2008-09-30,144465.23225351083
2008-10-31,130678.39412774805
2008-11-28,144205.05189432946
2008-12-31,152073.69980586178
2009-01-30,152234.18452912182
2009-02-27,152310.6396049499
2009-03-31,152320.40362340788
2009-04-30,151862.1306645715
2009-05-29,154788.4302841491
2009-06-30,154347.24963236746
2009-07-31,156997.30875950828
2009-08-31,158456.25845580662
2009-09-30,160673.2366783091
2009-10-30,161736.89652281642
2009-11-30,164528.94397043975
2009-12-31,161409.40890431154
2010-01-29,163725.01701388776
2010-02-26,164306.25718944104
2010-03-31,164497.94922955747
2010-04-30,166451.92892836282
2010-05-31,167463.48664327213
2010-06-30,170079.94594611347
2010-07-30,171966.62377671813
2010-08-31,174062.07590876377
2010-09-30,174834.42201723534
2010-10-29,175830.07869959372
2010-11-30,175230.51227792687
2010-12-31,175823.71706009665
2011-01-31,176410.06416142217
2011-02-28,178159.9291672814
2011-03-31,178815.62923858623
2011-04-29,182445.16956990093
2011-05-31,183231.92348762287
2011-06-30,181655.84092855232
2011-07-29,185001.36840185474
2011-08-31,185164.43810553505
2011-09-30,181575.72245073205
2011-10-31,184533.67689047017
2011-11-30,183970.10189571805
2011-12-30,185452.53122553328
2012-01-31,187791.73242651578
2012-02-29,188460.16134972277
2012-03-30,187679.02350060444
2012-04-30,189488.77529954456
2012-05-31,189730.63321388565
2012-06-29,190533.80256737757
2012-07-31,193251.36295612104
2012-08-31,194015.91894252558
2012-09-28,194753.19596686936
2012-10-31,194760.13533116117
2012-11-30,195268.00776541902
2012-12-31,195342.78604613387
2013-01-31,194693.56655527942
2013-02-28,195684.02722322886
2013-03-29,196357.35895301044
2013-04-30,198572.262901992
2013-05-31,195617.41631050117
2013-06-28,192324.45743915014
2013-07-31,194160.7344459819
2013-08-30,192399.02922200723
2013-09-30,195005.08377148065
2013-10-31,200062.72165487282
2013-11-29,202692.6652069472
2013-12-31,204656.62725569
2014-01-31,203490.20892885394
2014-02-28,208371.22965457806
2014-03-31,208816.43061107185
2014-04-30,209924.2620595696
2014-05-30,212341.4453052188
2014-06-30,214759.70598488432
2014-07-31,211866.66311609736
2014-08-29,216830.05249214542
2014-09-30,212789.2873913715
2014-10-31,216457.5969047833
2014-11-28,219147.92852107028
2014-12-31,218452.6409631972
2015-01-30,214933.3060671798
2015-02-27,218505.21741117284
2015-03-31,217679.3440369322
2015-04-30,216995.1396164418
2015-05-29,218092.81074638938
2015-06-30,214927.1914181889
2015-07-31,216370.57759491194
2015-08-31,211538.04602560372
2015-09-30,211535.3351133822
2015-10-30,215359.82885831688
2015-11-30,215012.08822769905
2015-12-31,214211.33755918316
2016-01-29,214413.35390978493
2016-02-29,215570.08157502132
2016-03-31,219551.25660530233
2016-04-29,220178.2504396452
2016-05-31,220694.92452468604
2016-06-30,224587.50395008514
2016-07-29,226811.29462752581
2016-08-31,226480.6207330642
2016-09-30,226391.87710853395
2016-10-31,224584.385569549
2016-11-30,220736.88091686077
2016-12-30,222445.34525339617
2017-01-31,224214.29799063873
2017-02-28,227914.40183775633
2017-03-31,227692.01308356712
2017-04-28,229884.21217226848
2017-05-31,231889.28464947888
2017-06-30,231940.33637181064
2017-07-31,233828.31272350438
2017-08-31,235466.36878698258
2017-09-29,235879.88826267121
2017-10-31,237540.30435684597
2017-11-30,239136.42597369422
2017-12-29,241425.87533812388
2018-01-31,245134.7841327405
2018-02-28,238673.467812409
2018-03-30,236344.64277759648
2018-04-30,238386.9392999841
2018-05-31,240009.49894224718
2018-06-29,239875.47466776668
2018-07-31,243113.50949661795
2018-08-31,246009.66195093395
2018-09-28,246908.16275087526
2018-10-31,236706.4803707108
2018-11-30,233759.1748261739
2018-12-31,222259.83719261372
2019-01-31,236071.47529240148
2019-02-28,238438.5759208582
2019-03-29,241164.81464061755
2019-04-30,243820.9843593158
2019-05-31,237738.7916735257
2019-06-28,242733.79511170846
2019-07-31,243858.2001829089
2019-08-30,249849.29786453405
2019-09-30,249272.40001672858
2019-10-31,251275.61717828992
2019-11-29,249750.66467863906
2019-12-31,252217.3740119884
2020-01-31,255729.85148546752
2020-02-28,255343.09481143896
2020-03-31,245298.7222843437
2020-04-30,250951.59935896634
2020-05-29,252597.36116788606
2020-06-30,254815.75863683966
2020-07-31,262320.70909432665
2020-08-31,260413.9544244641
2020-09-30,257482.29822026988
2020-10-30,256083.56641894972
2020-11-30,257885.82861761213
2020-12-31,259680.35312125532
2021-01-29,257755.68655006742
2021-02-26,254494.79975740472
2021-03-31,251959.28840184494
2021-04-30,256351.62393434433
2021-05-31,260012.47426449784
2021-06-30,257762.3953937962
2021-07-30,259725.39856861607
2021-08-31,260312.0732136515
2021-09-30,255832.71303816471
2021-10-29,259736.32247187285
2021-11-30,257199.8257613036
2021-12-31,260751.27501798878
2022-01-31,255564.77073048602
2022-02-28,262484.06644329504
2022-03-31,272323.96392797056
2022-04-29,265641.3680450054
2022-05-31,267971.6565553549
2022-06-30,245026.32567641616
2022-07-29,242992.4274569271
2022-08-31,233390.54342896192
2022-09-30,212099.00948088037
2022-10-31,222385.65389444472
2022-11-30,220278.3830763269
2022-12-30,214169.09466457585
2023-01-31,213564.5039938252
2023-02-28,204657.2399972427
2023-03-31,206152.21127846994
2023-04-28,205819.77104132014
2023-05-31,199157.48461705944
2023-06-30,205695.3852482911
2023-07-31,210925.53952832174
2023-08-31,208567.42087747017
2023-09-29,208163.36275621434
2023-10-31,201266.48829581894
2023-11-30,206251.21742146462
2023-12-29,207396.99879380106
