,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
DIQ1,0.0798 ± 0.0608,0.0483 ± 0.0281,0.0503 ± 0.0444,0.0471 ± 0.0377,0.3935 ± 0.1642,0.1808 ± 0.0719,0.0820 ± 0.0606,0.0385 ± 0.0391,0.0798 ± 0.0808
DIQ2,0.0852 ± 0.0566,0.0537 ± 0.0309,0.0561 ± 0.0409,0.0546 ± 0.0431,0.3575 ± 0.1754,0.1862 ± 0.0660,0.0772 ± 0.0530,0.0444 ± 0.0457,0.0851 ± 0.0776
DIQ3,0.0791 ± 0.0612,0.0478 ± 0.0286,0.0494 ± 0.0436,0.0461 ± 0.0375,0.3957 ± 0.1644,0.1805 ± 0.0728,0.0821 ± 0.0614,0.0390 ± 0.0394,0.0804 ± 0.0809
DIQ4,0.0823 ± 0.0609,0.0502 ± 0.0284,0.0518 ± 0.0458,0.0485 ± 0.0390,0.3855 ± 0.1652,0.1785 ± 0.0683,0.0839 ± 0.0604,0.0394 ± 0.0393,0.0800 ± 0.0801
DIQ5,0.0779 ± 0.0605,0.0473 ± 0.0285,0.0490 ± 0.0424,0.0462 ± 0.0371,0.3975 ± 0.1648,0.1821 ± 0.0769,0.0812 ± 0.0611,0.0391 ± 0.0398,0.0798 ± 0.0803
