,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
DIQ1,0.0640 ± 0.0512,0.0402 ± 0.0127,0.0397 ± 0.0274,0.0417 ± 0.0304,0.4036 ± 0.1398,0.1816 ± 0.0414,0.0648 ± 0.0297,0.0301 ± 0.0231,0.0721 ± 0.0466
DIQ2,0.0815 ± 0.0445,0.0439 ± 0.0193,0.0528 ± 0.0285,0.0463 ± 0.0357,0.3311 ± 0.1533,0.1859 ± 0.0453,0.0640 ± 0.0306,0.0343 ± 0.0279,0.0798 ± 0.0506
DIQ3,0.0636 ± 0.0538,0.0401 ± 0.0127,0.0387 ± 0.0274,0.0401 ± 0.0287,0.4043 ± 0.1411,0.1817 ± 0.0415,0.0648 ± 0.0299,0.0303 ± 0.0247,0.0720 ± 0.0483
DIQ4,0.0712 ± 0.0525,0.0432 ± 0.0163,0.0418 ± 0.0279,0.0413 ± 0.0313,0.3965 ± 0.1293,0.1829 ± 0.0457,0.0664 ± 0.0313,0.0321 ± 0.0237,0.0725 ± 0.0442
DIQ5,0.0631 ± 0.0518,0.0391 ± 0.0134,0.0402 ± 0.0272,0.0411 ± 0.0292,0.4038 ± 0.1404,0.1815 ± 0.0387,0.0651 ± 0.0298,0.0306 ± 0.0241,0.0728 ± 0.0470
