,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
DIQ1,0.1362 ± 0.0110,0.0997 ± 0.0062,0.1128 ± 0.0199,0.0937 ± 0.0071,0.1371 ± 0.0098,0.1323 ± 0.0262,0.1089 ± 0.0231,0.0772 ± 0.0232,0.1021 ± 0.0186
DIQ2,0.1248 ± 0.0217,0.0908 ± 0.0134,0.1077 ± 0.0194,0.0864 ± 0.0147,0.1783 ± 0.0628,0.1556 ± 0.0299,0.0964 ± 0.0270,0.0686 ± 0.0247,0.0913 ± 0.0249
DIQ3,0.1367 ± 0.0128,0.0997 ± 0.0075,0.1129 ± 0.0209,0.0938 ± 0.0087,0.1365 ± 0.0235,0.1310 ± 0.0284,0.1096 ± 0.0238,0.0774 ± 0.0239,0.1024 ± 0.0201
DIQ4,0.1352 ± 0.0129,0.0990 ± 0.0073,0.1126 ± 0.0203,0.0930 ± 0.0082,0.1412 ± 0.0263,0.1328 ± 0.0284,0.1081 ± 0.0232,0.0763 ± 0.0235,0.1018 ± 0.0202
DIQ5,0.1374 ± 0.0135,0.0998 ± 0.0082,0.1128 ± 0.0212,0.0939 ± 0.0083,0.1351 ± 0.0278,0.1310 ± 0.0294,0.1083 ± 0.0240,0.0796 ± 0.0267,0.1020 ± 0.0198
