,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
DIQ1,0.1324 ± 0.0087,0.0983 ± 0.0033,0.1136 ± 0.0061,0.0930 ± 0.0048,0.1375 ± 0.0047,0.1311 ± 0.0242,0.1094 ± 0.0159,0.0817 ± 0.0175,0.1047 ± 0.0166
DIQ2,0.1247 ± 0.0215,0.0906 ± 0.0095,0.1076 ± 0.0154,0.0894 ± 0.0088,0.1748 ± 0.0626,0.1573 ± 0.0170,0.0942 ± 0.0188,0.0668 ± 0.0152,0.0919 ± 0.0181
DIQ3,0.1328 ± 0.0091,0.0988 ± 0.0040,0.1139 ± 0.0116,0.0936 ± 0.0055,0.1350 ± 0.0078,0.1295 ± 0.0272,0.1092 ± 0.0159,0.0819 ± 0.0163,0.1071 ± 0.0187
DIQ4,0.1353 ± 0.0091,0.0983 ± 0.0043,0.1130 ± 0.0114,0.0926 ± 0.0049,0.1400 ± 0.0113,0.1332 ± 0.0256,0.1064 ± 0.0153,0.0791 ± 0.0153,0.1034 ± 0.0154
DIQ5,0.1375 ± 0.0099,0.0988 ± 0.0047,0.1151 ± 0.0117,0.0940 ± 0.0049,0.1345 ± 0.0171,0.1307 ± 0.0259,0.1080 ± 0.0157,0.0814 ± 0.0170,0.1028 ± 0.0160
