,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
DIQ1,0.1421 ± 0.0073,0.0951 ± 0.0087,0.1169 ± 0.0089,0.1031 ± 0.0040,0.1345 ± 0.0017,0.1038 ± 0.0107,0.1115 ± 0.0046,0.0857 ± 0.0135,0.1080 ± 0.0116
DIQ2,0.1433 ± 0.0179,0.0877 ± 0.0191,0.1107 ± 0.0128,0.1013 ± 0.0072,0.1616 ± 0.0368,0.1229 ± 0.0201,0.1004 ± 0.0164,0.0784 ± 0.0100,0.1002 ± 0.0086
DIQ3,0.1442 ± 0.0073,0.0962 ± 0.0092,0.1172 ± 0.0069,0.1033 ± 0.0045,0.1310 ± 0.0038,0.1002 ± 0.0127,0.1115 ± 0.0060,0.0867 ± 0.0150,0.1069 ± 0.0124
DIQ4,0.1460 ± 0.0075,0.0951 ± 0.0084,0.1161 ± 0.0077,0.1041 ± 0.0047,0.1347 ± 0.0074,0.1064 ± 0.0125,0.1114 ± 0.0069,0.0853 ± 0.0173,0.1056 ± 0.0125
DIQ5,0.1457 ± 0.0076,0.0977 ± 0.0083,0.1162 ± 0.0100,0.1051 ± 0.0047,0.1331 ± 0.0117,0.1035 ± 0.0134,0.1119 ± 0.0065,0.0855 ± 0.0173,0.1062 ± 0.0122
