,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
DIQ1,0.1445 ± 0.0089,0.0994 ± 0.0095,0.1089 ± 0.0164,0.1039 ± 0.0077,0.1334 ± 0.0068,0.1050 ± 0.0124,0.1134 ± 0.0138,0.0849 ± 0.0230,0.1066 ± 0.0131
DIQ2,0.1370 ± 0.0213,0.0936 ± 0.0249,0.1083 ± 0.0215,0.1009 ± 0.0172,0.1542 ± 0.0500,0.1190 ± 0.0282,0.1051 ± 0.0295,0.0798 ± 0.0275,0.1020 ± 0.0240
DIQ3,0.1451 ± 0.0102,0.0989 ± 0.0111,0.1093 ± 0.0168,0.1039 ± 0.0089,0.1323 ± 0.0142,0.1037 ± 0.0143,0.1136 ± 0.0149,0.0858 ± 0.0241,0.1075 ± 0.0155
DIQ4,0.1453 ± 0.0111,0.0979 ± 0.0112,0.1095 ± 0.0169,0.1038 ± 0.0089,0.1342 ± 0.0216,0.1060 ± 0.0168,0.1125 ± 0.0161,0.0847 ± 0.0241,0.1061 ± 0.0167
DIQ5,0.1448 ± 0.0109,0.1006 ± 0.0104,0.1087 ± 0.0179,0.1044 ± 0.0091,0.1312 ± 0.0226,0.1041 ± 0.0169,0.1134 ± 0.0160,0.0859 ± 0.0237,0.1069 ± 0.0165
