,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
DIQ1,0.1120 ± 0.0392,0.0847 ± 0.0100,0.0798 ± 0.0166,0.0919 ± 0.0327,0.1644 ± 0.0379,0.2114 ± 0.0490,0.1052 ± 0.0213,0.0651 ± 0.0376,0.0861 ± 0.0456
DIQ2,0.1066 ± 0.0357,0.0773 ± 0.0111,0.0908 ± 0.0219,0.0792 ± 0.0346,0.1971 ± 0.0498,0.2195 ± 0.0571,0.0911 ± 0.0195,0.0577 ± 0.0345,0.0763 ± 0.0471
DIQ3,0.1129 ± 0.0396,0.0835 ± 0.0112,0.0811 ± 0.0159,0.0907 ± 0.0326,0.1610 ± 0.0365,0.2055 ± 0.0486,0.1062 ± 0.0222,0.0669 ± 0.0384,0.0892 ± 0.0455
DIQ4,0.1144 ± 0.0381,0.0801 ± 0.0106,0.0808 ± 0.0182,0.0873 ± 0.0331,0.1729 ± 0.0361,0.2151 ± 0.0487,0.1035 ± 0.0226,0.0610 ± 0.0374,0.0841 ± 0.0469
DIQ5,0.1124 ± 0.0370,0.0821 ± 0.0126,0.0815 ± 0.0163,0.0865 ± 0.0329,0.1692 ± 0.0353,0.2126 ± 0.0583,0.1029 ± 0.0230,0.0650 ± 0.0410,0.0885 ± 0.0443
