,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe,maxSharpe
,$DIQ1$,$DIQ2$,$DIQ3$,$DIQ4$,$DIQ5$,$HC$,$LS1$,$LS2$,$LS3$,$LS4$,$LS5$,$NLS6$,$NLS7$,$NLS8$,$GS1$,$GS2$,$GS3$,$CRE$,$SRE$
Annualized Return (%),7.78,7.72,7.76,7.75,7.71,3.75,5.34,5.64,3.56,3.9,3.84,3.94,3.92,3.96,4.19,3.91,3.94,4.11,3.93
Cumulative Return (%),311.28,309.03,309.76,308.35,305.3,97.56,155.44,160.8,88.26,103.98,101.51,101.89,101.18,102.46,115.37,105.08,107.4,112.02,104.39
Annualized STD (%),11.66,11.36,11.62,11.66,11.62,8.29,11.19,12.81,8.85,8.1,8.13,9.15,9.13,9.18,8.28,7.94,7.52,8.34,8.34
Maximum Drawdown (%),-37.95,-38.41,-37.68,-38.28,-38.19,-29.52,-36.65,-40.74,-29.67,-28.53,-29.12,-30.12,-30.1,-30.15,-28.3,-27.05,-26.87,-29.59,-29.25
Monthly 95% VaR (%),-4.57,-4.54,-4.56,-4.57,-4.63,-3.22,-4.95,-5.92,-3.31,-3.24,-3.24,-3.92,-3.93,-3.91,-3.13,-3.36,-2.93,-3.39,-3.44
Sharpe Ratio,0.54,0.55,0.54,0.54,0.54,0.28,0.35,0.33,0.24,0.3,0.3,0.27,0.27,0.27,0.33,0.31,0.33,0.32,0.3
Turnover,0.23,0.74,0.32,0.44,0.46,3.44,3.33,4.12,3.49,3.18,3.39,3.42,3.44,3.41,3.24,3.27,3.14,3.19,3.35
