date,maxSharpe
2003-12-31,100000.0
2004-01-30,100983.04868599097
2004-02-27,102309.67965734292
2004-03-31,104111.52377563201
2004-04-30,99177.34458777485
2004-05-31,99515.94819335903
2004-06-30,99503.70260053645
2004-07-30,101103.60520035832
2004-08-31,102847.06565423596
2004-09-30,105424.92793929795
2004-10-29,107816.45602214625
2004-11-30,109152.66574940464
2004-12-31,110047.41675462233
2005-01-31,109677.49111896541
2005-02-28,112600.71267767897
2005-03-31,109658.36857091192
2005-04-29,105971.77963717721
2005-05-31,107302.40810920962
2005-06-30,110504.94631373255
2005-07-29,114539.08714868675
2005-08-31,117896.03315164286
2005-09-30,118997.87966859038
2005-10-31,113797.38541069631
2005-11-30,115871.54331380445
2005-12-30,120329.57814688199
2006-01-31,128245.73849226486
2006-02-28,125373.4556093824
2006-03-31,129513.3496528005
2006-04-28,136522.86061529248
2006-05-31,133075.57607440682
2006-06-30,132904.1659113286
2006-07-31,135665.40126395074
2006-08-31,137026.9806126874
2006-09-29,135739.63883776354
2006-10-31,140923.39358995
2006-11-30,146882.7916172443
2006-12-29,148410.39355658565
2007-01-31,151101.703480405
2007-02-28,150214.61202575968
2007-03-30,150141.78995017058
2007-04-30,152913.19790343518
2007-05-31,154535.82405774045
2007-06-29,152945.97467448245
2007-07-31,152283.37668433058
2007-08-31,149911.77712206705
2007-09-28,161291.0290681258
2007-10-31,171418.43456974102
2007-11-30,164493.93021438134
2007-12-31,164166.74843705384
2008-01-31,162422.3538805087
2008-02-29,165631.0319606579
2008-03-31,163568.79745698662
2008-04-30,164605.0466339365
2008-05-30,165020.10957901666
2008-06-30,164064.46173023747
2008-07-31,161184.03596122857
2008-08-29,158092.17819923043
2008-09-30,153338.59991009944
2008-10-31,136975.77462711337
2008-11-28,154578.37587554238
2008-12-31,162204.94937646465
2009-01-30,162490.7055803073
2009-02-27,162522.92688098518
2009-03-31,162976.91552178524
2009-04-30,162545.7157946167
2009-05-29,165909.80045777315
2009-06-30,165393.11240876396
2009-07-31,168278.84862563486
2009-08-31,169808.67422598324
2009-09-30,172320.27279193854
2009-10-30,173572.15139111286
2009-11-30,177158.02302068385
2009-12-31,173372.24826199896
2010-01-29,175562.9013178906
2010-02-26,176385.38513767568
2010-03-31,176184.42845120252
2010-04-30,178525.5377885509
2010-05-31,180343.99443093422
2010-06-30,183235.37162050864
2010-07-30,184702.4131687034
2010-08-31,187317.32794044103
2010-09-30,188192.74073989957
2010-10-29,189290.45590641626
2010-11-30,188416.4160557721
2010-12-31,189492.270471019
2011-01-31,189242.06456591972
2011-02-28,190967.46774268732
2011-03-31,191420.9005248618
2011-04-29,195035.53576601483
2011-05-31,196729.28462471085
2011-06-30,195467.49584065727
2011-07-29,199085.04199180173
2011-08-31,199778.77288637712
2011-09-30,196578.39208545664
2011-10-31,200034.20226980804
2011-11-30,199044.80266429883
2011-12-30,201038.24563392956
2012-01-31,204069.6631178493
2012-02-29,204397.7502519942
2012-03-30,203577.6887939759
2012-04-30,205790.9369142327
2012-05-31,206324.5443588575
2012-06-29,207412.72223781355
2012-07-31,210437.09419619723
2012-08-31,211085.60419731322
2012-09-28,211914.7968537
2012-10-31,212269.77076891644
2012-11-30,212801.51827130347
2012-12-31,213217.83199423514
2013-01-31,212553.2097385273
2013-02-28,213580.67847146987
2013-03-29,214251.94581606358
2013-04-30,216893.0461700941
2013-05-31,213379.4678724864
2013-06-28,209593.5033059587
2013-07-31,211524.47407633706
2013-08-30,209766.71576583327
2013-09-30,212219.68342848396
2013-10-31,217451.6649265471
2013-11-29,220671.9824633629
2013-12-31,222819.8529248829
2014-01-31,221426.6858103071
2014-02-28,226258.73861436636
2014-03-31,226660.0645961775
2014-04-30,227788.86624291647
2014-05-30,230218.28041120962
2014-06-30,233382.08141952517
2014-07-31,229626.44630405834
2014-08-29,235160.25054706397
2014-09-30,230203.06951807352
2014-10-31,234454.30833579187
2014-11-28,238443.68258670668
2014-12-31,238254.4814242916
2015-01-30,231050.58803764972
2015-02-27,239229.69879460015
2015-03-31,236889.3419776845
2015-04-30,236595.72722510845
2015-05-29,239218.5152411991
2015-06-30,235511.15263243223
2015-07-31,237304.3592392347
2015-08-31,232396.50551516717
2015-09-30,232781.50865780542
2015-10-30,236465.3946487133
2015-11-30,236035.30520423272
2015-12-31,235474.80722130332
2016-01-29,236417.9646271514
2016-02-29,237712.04642590004
2016-03-31,242197.92861642226
2016-04-29,242648.60019060966
2016-05-31,243144.8990200272
2016-06-30,248289.09686936607
2016-07-29,250662.27532729637
2016-08-31,249514.3251690312
2016-09-30,249125.57197585332
2016-10-31,246089.41926412517
2016-11-30,240501.61345545412
2016-12-30,242358.7723978585
2017-01-31,244246.53938616006
2017-02-28,248105.0773899304
2017-03-31,247812.4776803289
2017-04-28,250259.82661921132
2017-05-31,252265.25048953193
2017-06-30,252224.2534938529
2017-07-31,254181.44529565494
2017-08-31,256091.21935519422
2017-09-29,256068.6990920852
2017-10-31,257774.73737957008
2017-11-30,259555.11285076657
2017-12-29,261626.98277325556
2018-01-31,264903.5126334697
2018-02-28,257809.17653733346
2018-03-30,255701.88460003582
2018-04-30,258421.83272576335
2018-05-31,260810.12508842503
2018-06-29,261464.3093024883
2018-07-31,264112.176363155
2018-08-31,268388.15616366157
2018-09-28,269634.05835883523
2018-10-31,257433.88861906313
2018-11-30,255492.22136113822
2018-12-31,239720.76981387232
2019-01-31,249267.13523509112
2019-02-28,251069.25430202758
2019-03-29,253035.80574853544
2019-04-30,255456.9140750943
2019-05-31,251406.2762964305
2019-06-28,257027.91464322477
2019-07-31,258099.22022484837
2019-08-30,264604.1225128493
2019-09-30,263506.4954766618
2019-10-31,265633.46670946234
2019-11-29,264320.31703322503
2019-12-31,266702.1457686069
2020-01-31,271050.0189662877
2020-02-28,271379.6914121817
2020-03-31,260085.64224650947
2020-04-30,266712.6795012852
2020-05-29,268676.4679442708
2020-06-30,271299.2996335641
2020-07-31,280039.2510828397
2020-08-31,277978.62148442137
2020-09-30,275192.51613917336
2020-10-30,273971.7695652074
2020-11-30,273930.94226382487
2020-12-31,276544.50718291925
2021-01-29,273940.35576041165
2021-02-26,269015.3636007943
2021-03-31,266550.705430755
2021-04-30,270878.57018162776
2021-05-31,274733.50987787545
2021-06-30,273419.0549040264
2021-07-30,277288.13761058904
2021-08-31,278101.796191817
2021-09-30,272381.04644591553
2021-10-29,276978.65508849535
2021-11-30,276855.24268972303
2021-12-31,279511.9738210726
2022-01-31,271800.82328639645
2022-02-28,272145.8321714314
2022-03-31,284160.61107332545
2022-04-29,279608.3240228854
2022-05-31,286670.05698328785
2022-06-30,259184.99730325415
2022-07-29,253056.9352203668
2022-08-31,242911.39358885156
2022-09-30,221652.0414777165
2022-10-31,232259.9894491318
2022-11-30,226521.43329434382
2022-12-30,222290.93640606038
2023-01-31,220818.607027524
2023-02-28,211249.03397299236
2023-03-31,209020.61362724003
2023-04-28,208381.66582590342
2023-05-31,201839.18104823597
2023-06-30,211449.05415491012
2023-07-31,216490.30109536994
2023-08-31,214269.07930193504
2023-09-29,216350.1051571205
2023-10-31,204640.26645421772
2023-11-30,209639.11863134525
2023-12-29,212017.47565214348
