date,maxSharpe
2003-12-31,100000.0
2004-01-30,100983.01729922138
2004-02-27,102272.92966921577
2004-03-31,104113.8543000806
2004-04-30,99094.42057357723
2004-05-31,99379.71881116569
2004-06-30,99384.41828781382
2004-07-30,101062.95373677049
2004-08-31,102836.1583066604
2004-09-30,105322.73754410559
2004-10-29,107671.48840569191
2004-11-30,108713.95406735083
2004-12-31,109507.51090315646
2005-01-31,109085.58569227318
2005-02-28,111877.99378362727
2005-03-31,109044.75993428349
2005-04-29,105315.45083637544
2005-05-31,106308.39439767934
2005-06-30,109364.82646776218
2005-07-29,112991.92658606943
2005-08-31,116145.07170826421
2005-09-30,116608.8179063303
2005-10-31,111553.97723960225
2005-11-30,112925.82271463046
2005-12-30,117371.28795972062
2006-01-31,125362.02024963798
2006-02-28,122298.77789690289
2006-03-31,126499.65274845416
2006-04-28,133342.40654763335
2006-05-31,130138.41843515942
2006-06-30,129993.39539582937
2006-07-31,133038.03666965358
2006-08-31,134077.6594623447
2006-09-29,132455.01304220324
2006-10-31,137616.716843938
2006-11-30,143080.11885383405
2006-12-29,143607.09741509552
2007-01-31,146866.0919892865
2007-02-28,145953.49553213274
2007-03-30,145576.01344648085
2007-04-30,148216.8576076941
2007-05-31,149656.88841105488
2007-06-29,148030.3057597544
2007-07-31,145889.82646067266
2007-08-31,143519.27079036116
2007-09-28,154275.0569197647
2007-10-31,163725.81733603927
2007-11-30,157537.474275975
2007-12-31,157002.1316482901
2008-01-31,155702.25899852352
2008-02-29,158909.3755420148
2008-03-31,156827.57224776078
2008-04-30,157693.42740437426
2008-05-30,158019.641596608
2008-06-30,157161.3689707619
2008-07-31,154525.67889737588
2008-08-29,151812.85989235592
2008-09-30,147359.80373478887
2008-10-31,131728.3811238656
2008-11-28,148658.68038271033
2008-12-31,156006.34028219382
2009-01-30,156306.24396566802
2009-02-27,156329.17521082604
2009-03-31,156840.19646625302
2009-04-30,156438.98212905478
2009-05-29,159688.9087024544
2009-06-30,159179.13502376794
2009-07-31,161967.36055430493
2009-08-31,163426.1011744437
2009-09-30,165898.402350101
2009-10-30,167146.64223277985
2009-11-30,170738.45769218844
2009-12-31,167042.25976956426
2010-01-29,169132.39106042503
2010-02-26,169973.5802088336
2010-03-31,169869.62502909082
2010-04-30,172247.5409319583
2010-05-31,174025.75213846477
