Date,validation_loss,delta,gamma,epsilon,wB,wW,wT,wI
2001-12-31,-0.391479,1.45836,-0.018953,2.21338,0.191953,0.170066,0.246228,0.391753
2002-01-31,-0.522838,1.458852,-0.002153499999999999,1.894171,0.199554,0.2507555,0.4050235,0.1446675
2002-02-28,-0.532145,1.4628820000000002,-0.0003569999999999984,2.058528666666667,0.179104,0.22093500000000002,0.4285273333333333,0.17143366666666668
2002-03-29,-0.4736285,1.49052125,-0.0136205,2.29391725,0.152263,0.19388249999999999,0.44571075,0.20814375000000002
2002-04-30,-0.3489974,1.4859294,-0.0097484,2.0131848,0.128301,0.23143539999999999,0.41712899999999997,0.22313480000000002
2002-05-31,-0.41098949999999995,1.4680623333333334,-0.029542333333333337,1.864447,0.11689333333333334,0.19755083333333334,0.4952126666666667,0.19034283333333332
2002-06-28,-0.4934172857142857,1.4539664285714287,-0.03203957142857143,1.6519567142857141,0.11192142857142857,0.176737,0.5309512857142857,0.18039042857142856
2002-07-31,-0.673171875,1.45993,-0.036301125000000004,1.425652125,0.09928999999999999,0.2054435,0.5703892500000001,0.1248775
2002-08-30,-0.6637117777777778,1.4639546666666667,-0.04524544444444444,1.2421584444444445,0.09671388888888889,0.20163588888888886,0.5893597777777777,0.11229055555555556
2002-09-30,-0.9042075,1.4704542999999999,-0.0342077,1.3211299,0.1127465,0.1896962,0.5580689000000001,0.13948860000000002
2002-10-31,-0.9743835454545454,1.4709253636363635,-0.021019363636363638,1.3983439090909089,0.12711245454545453,0.20338536363636364,0.514765,0.15473736363636362
2002-11-29,-0.9571424166666667,1.4621335833333333,-0.0008058333333333334,1.3246115,0.12537375,0.20543141666666667,0.5120128333333334,0.15718216666666665
2002-12-31,-0.975313,1.4610984615384615,0.01666346153846154,1.4051688461538463,0.13661353846153845,0.19593784615384616,0.4688393846153846,0.1986093076923077
2003-01-31,-0.889426,1.4634615714285713,0.022346642857142857,1.4149541428571428,0.14626021428571429,0.19392985714285715,0.4603609285714286,0.19944892857142857
2003-02-28,-1.0131056666666667,1.469533,0.03863913333333333,1.3983204666666667,0.18242706666666667,0.18145026666666667,0.38460713333333335,0.2515154666666667
2003-03-31,-1.10873525,1.47379875,0.041507,1.497037,0.1907539375,0.1693564375,0.385256875,0.254633
2003-04-30,-0.9228585294117647,1.469308588235294,0.045946,1.6406625294117647,0.17866117647058824,0.16306017647058824,0.41675329411764706,0.24152552941176467
2003-05-30,-0.8041507777777778,1.461879777777778,0.04736272222222222,1.6147315,0.1364663888888889,0.130872,0.5456463333333333,0.1870153888888889
2003-06-30,-0.8627993157894738,1.461702,0.04200305263157895,1.5427403157894737,0.12968231578947367,0.12705994736842105,0.5466369473684211,0.19662073684210526
2003-07-31,-0.88524275,1.46438985,0.0451326,1.5758817,0.11318584999999999,0.13850955,0.5794707,0.1688339
2003-08-29,-0.8319594761904762,1.4720080952380952,0.038874761904761905,1.5646940476190476,0.14147642857142856,0.14649466666666666,0.4408504285714286,0.2711782380952381
2003-09-30,-0.8684036818181817,1.4735986363636364,0.03895840909090909,1.6422204545454546,0.16507000000000002,0.16316713636363636,0.3591772272727273,0.3125854090909091
2003-10-31,-0.6464163913043478,1.476315652173913,0.044180913043478265,1.6877183913043479,0.1688818260869565,0.17664286956521738,0.266013,0.38846243478260867
2003-11-28,-0.6609219583333333,1.4731967916666668,0.04700179166666666,1.6968958333333333,0.18585033333333334,0.16384954166666668,0.18654933333333334,0.46375083333333333
2003-12-31,-0.6100980833333334,1.4730643749999999,0.048451,1.8753151666666668,0.19161275,0.17776483333333334,0.17834150000000001,0.452281
2004-01-30,-0.6969391666666667,1.4718677083333336,0.044526875,2.431635041666667,0.16583483333333335,0.14762508333333332,0.14675683333333334,0.53978325
