,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
DIQ1,0.1258 ± 0.0202,0.0954 ± 0.0093,0.1065 ± 0.0180,0.0888 ± 0.0111,0.1383 ± 0.0153,0.1701 ± 0.0410,0.1083 ± 0.0267,0.0686 ± 0.0321,0.0981 ± 0.0308
DIQ2,0.1238 ± 0.0205,0.0926 ± 0.0126,0.1084 ± 0.0156,0.0875 ± 0.0125,0.1439 ± 0.0280,0.1730 ± 0.0385,0.1053 ± 0.0266,0.0691 ± 0.0335,0.0963 ± 0.0297
DIQ3,0.1260 ± 0.0204,0.0954 ± 0.0095,0.1061 ± 0.0183,0.0888 ± 0.0112,0.1387 ± 0.0159,0.1700 ± 0.0414,0.1083 ± 0.0267,0.0685 ± 0.0323,0.0982 ± 0.0311
DIQ4,0.1258 ± 0.0195,0.0951 ± 0.0093,0.1061 ± 0.0180,0.0885 ± 0.0119,0.1408 ± 0.0177,0.1707 ± 0.0416,0.1082 ± 0.0266,0.0669 ± 0.0315,0.0978 ± 0.0311
DIQ5,0.1254 ± 0.0207,0.0948 ± 0.0114,0.1063 ± 0.0175,0.0886 ± 0.0115,0.1363 ± 0.0193,0.1690 ± 0.0411,0.1078 ± 0.0276,0.0731 ± 0.0402,0.0987 ± 0.0306
