,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
DIQ1,0.1224 ± 0.0138,0.0941 ± 0.0069,0.1052 ± 0.0074,0.0918 ± 0.0091,0.1389 ± 0.0123,0.1657 ± 0.0310,0.1090 ± 0.0163,0.0776 ± 0.0253,0.1020 ± 0.0262
DIQ2,0.1195 ± 0.0145,0.0941 ± 0.0064,0.1068 ± 0.0087,0.0902 ± 0.0094,0.1483 ± 0.0213,0.1680 ± 0.0308,0.1064 ± 0.0128,0.0732 ± 0.0208,0.1023 ± 0.0274
DIQ3,0.1225 ± 0.0140,0.0938 ± 0.0066,0.1050 ± 0.0073,0.0919 ± 0.0091,0.1400 ± 0.0130,0.1670 ± 0.0311,0.1090 ± 0.0162,0.0747 ± 0.0248,0.1024 ± 0.0261
DIQ4,0.1227 ± 0.0141,0.0945 ± 0.0068,0.1045 ± 0.0077,0.0916 ± 0.0085,0.1432 ± 0.0112,0.1702 ± 0.0313,0.1087 ± 0.0161,0.0725 ± 0.0245,0.1016 ± 0.0267
DIQ5,0.1228 ± 0.0140,0.0956 ± 0.0069,0.1055 ± 0.0084,0.0906 ± 0.0098,0.1375 ± 0.0146,0.1622 ± 0.0314,0.1084 ± 0.0162,0.0782 ± 0.0259,0.1035 ± 0.0255
