,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
DIQ1,0.1278 ± 0.0285,0.0925 ± 0.0124,0.1032 ± 0.0242,0.0857 ± 0.0190,0.1449 ± 0.0203,0.1808 ± 0.0520,0.1103 ± 0.0316,0.0635 ± 0.0388,0.0914 ± 0.0422
DIQ2,0.1241 ± 0.0303,0.0895 ± 0.0176,0.1042 ± 0.0170,0.0851 ± 0.0207,0.1552 ± 0.0384,0.1797 ± 0.0506,0.1062 ± 0.0323,0.0652 ± 0.0410,0.0908 ± 0.0428
DIQ3,0.1278 ± 0.0290,0.0922 ± 0.0128,0.1028 ± 0.0243,0.0857 ± 0.0193,0.1453 ± 0.0208,0.1808 ± 0.0524,0.1102 ± 0.0318,0.0636 ± 0.0391,0.0916 ± 0.0424
DIQ4,0.1274 ± 0.0285,0.0918 ± 0.0132,0.1026 ± 0.0239,0.0854 ± 0.0192,0.1486 ± 0.0243,0.1811 ± 0.0519,0.1098 ± 0.0321,0.0620 ± 0.0382,0.0914 ± 0.0425
DIQ5,0.1274 ± 0.0288,0.0915 ± 0.0144,0.1027 ± 0.0239,0.0850 ± 0.0194,0.1444 ± 0.0258,0.1803 ± 0.0530,0.1096 ± 0.0327,0.0679 ± 0.0466,0.0913 ± 0.0421
