,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
DIQ1,0.1188 ± 0.0255,0.0927 ± 0.0094,0.1005 ± 0.0088,0.0930 ± 0.0185,0.1423 ± 0.0192,0.1789 ± 0.0403,0.1126 ± 0.0181,0.0720 ± 0.0333,0.0953 ± 0.0349
DIQ2,0.1227 ± 0.0269,0.0929 ± 0.0083,0.1011 ± 0.0102,0.0866 ± 0.0188,0.1569 ± 0.0257,0.1755 ± 0.0489,0.1057 ± 0.0137,0.0714 ± 0.0288,0.0943 ± 0.0381
DIQ3,0.1189 ± 0.0257,0.0923 ± 0.0097,0.1003 ± 0.0080,0.0925 ± 0.0182,0.1440 ± 0.0188,0.1775 ± 0.0401,0.1123 ± 0.0179,0.0730 ± 0.0333,0.0969 ± 0.0349
DIQ4,0.1199 ± 0.0262,0.0908 ± 0.0090,0.0993 ± 0.0087,0.0928 ± 0.0176,0.1482 ± 0.0173,0.1828 ± 0.0379,0.1118 ± 0.0186,0.0683 ± 0.0318,0.0911 ± 0.0342
DIQ5,0.1185 ± 0.0245,0.0931 ± 0.0104,0.1006 ± 0.0104,0.0881 ± 0.0187,0.1456 ± 0.0211,0.1729 ± 0.0425,0.1116 ± 0.0172,0.0718 ± 0.0353,0.0977 ± 0.0349
